Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто,Адреса,Телефон,Email
Жарко,Юстим,Владиславович,male,1976-03-31,Кінолог,село Міусинськ,"парк Заводська 2-га, буд. 6 кв. 11, Підгородне, 10074",574 98 85,artemandroshchuk@example.com
Зубко,Лесь,Яковович,male,1943-10-20,Художник,місто Сквира,"площа Східчастий 3-й, буд. 84, Бучач, 91072",+380 (89) 574-14-04,vatamaniukzorian@example.org
Гаврилишин,Соломія,Лесівна,female,1942-10-15,Кінорежисер,селище Глобине,"площа Одарія, буд. 3, Канів, 92421",224-53-24,zvatamaniuk@example.net
Кабалюк,Петро,Антонович,male,1997-01-13,Кухар,хутір Нове Давидково,"парк Венгера, буд. 363, Пологи , 33274",308 27 85,qprokopovych@example.com
Бабич,Трохим,Костянтинович,male,1968-10-20,Мірошник,село Українка ,"парк Нежданової, буд. 4 кв. 1, Володимир-Волинський, 59857",+380 89 305 55 72,abrahamovskaandrii@example.com
Жадан,Ірина,Орхипівна,female,1946-02-13,Випробувач,місто Ромни,"площа Берегова, буд. 74, Бар, 29803",+380 04 450-73-88,iaremenkoorest@example.net
Данчук,Лариса,Юстимівна,female,1978-07-05,Фармацевт,місто Верхівцеве,"парк Естонський, буд. 1 кв. 90, Долина , 53277",571-15-45,tzhurba@example.net
Вахній,Софія,Семенівна,female,1989-03-25,Провізор,селище Прилуки,"проспект Академіка Богатського, буд. 95, Ананьїв, 96827",021 159-06-88,riabetsomelian@example.net
Фоменко,Марʼяна,Панасівна,female,1958-02-11,Флорист,село Армянськ,"площа Дніпропетровська дорога, буд. 13, Корсунь-Шевченківський, 31278",+380 39 632-29-02,rhuk@example.net
Бевзенко,Валентин,Костянтинович,male,1989-11-16,Стропальник,селище Липовець,"проспект Першотравневий 2-й, буд. 53, Конотоп, 26502",279 30 21,anita31@example.org
Радченко,Орися,Семенівна,female,1999-06-25,Паралегал,місто Дубно,"набережна Зелена балка, буд. 9 кв. 27, Подільськ, 19090",+380 (94) 253-73-78,anita32@example.net
Малик,Аніта,Трохимівна,female,1999-10-22,Музикант,село Вараш,"узвіз Фабрична, буд. 3 кв. 15, Покров, 91882",029 067-53-38,klymentvertyporokh@example.org
Артимишин,Наталія,Тарасівна,female,1947-05-20,Астроном,місто Павлоград,"узвіз Педагогічний, буд. 91, Сулимівка (Слов'янськ), 07181",899 35 79,ievtushokstanislav@example.net
Чумаченко,Йосип,Демидович,male,1966-07-01,Агроном,хутір Дружківка,"сквер Новоукраїнський, буд. 9, Коростишів, 69299",738 54 88,ustym44@example.com
Дзиндра,Марко,Єфремович,male,1967-11-27,Різноробочий,хутір Київ,"набережна Лиманчик 2-й Лінія 2-га, буд. 9, Долина , 69387",+380 (79) 142-78-04,ltsarenko@example.org
Оліфіренко,Йосип,Яремович,male,1967-03-20,Каскадер,село Суми,"сквер Ялинкова, буд. 23, Олевськ, 14333",790-09-89,ihnatzhurba@example.net
Атаманюк,Анжела,Олександрівна,female,1958-05-10,Мікробіолог,селище Ізмаїл,"сквер Радісна, буд. 2, Соледар, 80858",005 263-48-29,iaremaolifirenko@example.net
Абраменко,Василина,Миколаївна,female,1967-10-27,Клоун,селище Судак ,"площа Мариністів, буд. 5, Родинське, 26075",+380 (32) 505-65-20,lvasylevych@example.com
Самойленко,Едита,Тарасівна,female,1958-09-12,Ювелір,селище Балаклія,"провулок 1-ша Лінія Марії Демченко, буд. 8 кв. 34, Карлівка, 48541",+380 (76) 909-93-40,ierchenkoheorhii@example.org
Атаманюк,Дарина,Бориславівна,female,2001-07-17,Акушер,місто Хмільник,"провулок Дубовий гай, буд. 6 кв. 275, Рава-Руська, 47044",097 498-44-88,valerii04@example.org
Ярема,Олекса,Олегович,male,1952-09-04,Музичний редактор,місто Хмельницький,"набережна Круговий, буд. 8 кв. 64, Козятин, 20877",076 054 03 66,leontii09@example.net
Гаврюшенко,Сергій,Опанасович,male,1985-10-01,Флорист,селище Шахтарськ,"вулиця Заводська 4-та, буд. 660 кв. 8, Кам'янка-Бузька, 06636",769 78 26,kabanenkoirena@example.com
Дубенко,Амалія,Назарівна,female,1972-09-22,Фотограф,село Заставна,"парк Декабристів, буд. 44 кв. 9, Інкерман, 31877",072-58-86,wkarmaliuk@example.org
Алексеєнко,Василь,Амвросійович,male,1991-08-11,Фольклорист,селище Горішні Плавні,"узвіз Вапняний 3-й, буд. 27 кв. 254, Нікополь, 33833",161 38 62,frantskhudiak@example.org
Атаманчук,Людмила,Георгіївна,female,1981-07-31,Зоолог,селище Сарни,"сквер Бехтерєва, буд. 15 кв. 17, Карлівка, 35638",+380 17 557 47 04,bevzmykyta@example.com
Шухевич,Єлисей,Прохорович,male,1975-02-24,Ювелір,село Новоград-Волинський,"шосе Кипарисний 3-й, буд. 15 кв. 72, Сторожинець, 10533",+380 17 348-55-21,demyd72@example.org
Баклан,Михайло,Валерійович,male,1989-11-28,Флорист,селище Севастополь,"площа Академіка Гаркавого, буд. 2 кв. 4, Старий Самбір, 05528",054-71-28,zshylo@example.net
Даньків,Клавдія,Лукʼянівна,female,1991-07-28,Реабілітолог,хутір Гребінка,"провулок Нерубайська, буд. 489 кв. 59, Золочів, 04299",+380 74 866-75-98,opanashavriushenko@example.org
Гайдай,Світлана,Леонідівна,female,1940-08-25,Ботанік,хутір Горлівка,"площа Благовидової, буд. 2, Молочанськ, 35972",091 828 07 75,kharchenkopanteleimon@example.com
Матяш,Марта,Максимівна,female,2006-09-28,Детектив,хутір Володимир-Волинський,"парк Шевченка парк, буд. 1, Умань, 77555",017 932 02 34,danylofastenko@example.com
Ейбоженко,Данна,Єлисеївна,female,1957-04-04,Підприємець,хутір Арциз,"шосе Військовий узвіз, буд. 534 кв. 9, Старобільськ, 12774",+380 (34) 691-93-85,korsunmariana@example.com
Романчук,Одарка,Станіславівна,female,1947-08-27,Кушнір,селище Зіньків,"вулиця Десята, буд. 00 кв. 744, Підгородне, 77194",034 260 24 12,hartymovych@example.com
Яремків,Галина,Азарівна,female,1964-03-04,Композитор,село Миколаївка ,"парк Новгородський 2-й, буд. 87 кв. 47, Южноукраїнськ, 99548",744 33 37,frebryk@example.com
Парасюк,Максим,Теодорович,male,2001-04-21,Кушнір,місто Андрушівка,"узвіз Шовкуненка, буд. 964, Луцьк, 87506",+380 83 900 45 74,opanasdurdynets@example.com
Бабариченко,Прохір,Леонідович,male,2007-05-06,Ріелтор,село Добромиль,"узвіз Балтська дорога, буд. 910 кв. 564, Ялта, 75364",+380 66 859 21 19,marko92@example.net
Заруба,Кирило,Симонович,male,2001-11-05,Локсмайстер,хутір Балаклія,"сквер Восьмого березня, буд. 03, Марганець , 96939",+380 25 833 53 88,farsenych@example.com
Венгринович,Іван,Вадимович,male,1988-08-09,Музикант,місто Голубівка,"проспект Маланова, буд. 45 кв. 762, Підгородне, 03008",018-03-95,demydenkoruslan@example.net
Чайка,Сніжана,Федорівна,female,1948-02-01,Каскадер,місто Устилуг,"площа Докова, буд. 455 кв. 09, Южне, 15031",088 263 51 19,xcherinko@example.net
Вовк,Аврелій,Гордійович,male,1999-11-03,Етнограф,село Богодухів,"площа Китобійний 1-й, буд. 9 кв. 86, Гадяч, 01403",411-95-11,xandriievych@example.net
Тригуб,Ярослава,Альбертівна,female,1959-04-09,Детектив,село Монастириська,"узвіз Селекційний, буд. 4 кв. 52, Марганець , 98256",+380 (52) 294-75-77,rostyslav84@example.com
Шевченко,Василь,Дмитрович,male,1999-02-27,Бібліотекар,селище Хоростків,"узвіз Чорноморський 11-й, буд. 345, Калинівка , 43135",+380 72 566-60-45,oleksandrkylymnyk@example.net
Ісаєвич,Левко,Орестович,male,2005-06-22,Маркетолог,хутір Богуслав,"вулиця Наявний 1-й, буд. 28 кв. 791, Ізюм, 18492",+380 90 067-49-26,qkanivets@example.net
Малишко,Анжела,Володимирівна,female,1997-12-04,Доцент,хутір Покров,"шосе Азербайджан, буд. 36 кв. 82, Тернопіль, 25945",208 85 96,ielysei96@example.com
Матвієнко,Марʼяна,Пантелеймонівна,female,1999-03-01,Правник,хутір Кіцмань,"шосе Нафтовиків 1-й, буд. 10, Нововолинськ, 12269",+380 18 971-35-18,milenabevz@example.com
Александренко,Вадим,Стефанович,male,1982-05-25,Актор,селище Мирноград,"провулок Сибірська, буд. 0 кв. 099, Долинська, 58661",069 394 62 92,lesvasylenko@example.net
Вишняк,Валентина,Захарівна,female,1949-12-12,Композитор,селище Бахчисарай,"шосе Східний 1-й, буд. 7 кв. 9, Зимогір'я, 80722",134-99-25,zaichenkofrants@example.com
Заруба,Сніжана,Зорянівна,female,2003-03-08,Фрілансер,хутір Олешки,"узвіз Павлова, буд. 627 кв. 17, Білицьке, 31389",289 60 36,skanivets@example.org
Зубко,Валерій,Михайлович,male,1958-12-08,Стиліст,селище Алмазна,"площа Карантинний узвіз, буд. 22, Гайсин, 41397",651-89-06,dprymachenko@example.com
Бандура,Василина,Владиславівна,female,2002-02-06,Геолог,село Чорнобиль,"провулок Кавказький, буд. 027, Люботин, 71530",+380 00 891-14-59,boryslav79@example.org
Вдовенко,Демид,Леонідович,male,1938-12-14,Будник,селище Ватутіне,"площа Рибальська, буд. 471, Южне, 29476",066 601-73-08,vladyslav88@example.com
Андрусенко,Ада,Марківна,female,1940-02-03,Кіноактор,село Костянтинівка,"вулиця Кавказька, буд. 8 кв. 512, Решетилівка, 64442",028 822 10 53,leopoldsavenko@example.org
Єрьоменко,Розалія,Дмитріївна,female,1986-05-15,Філолог,місто Кадіївка,"шосе Чорноморський 1-й, буд. 432, Могилів-Подільський, 72485",+380 42 432 32 89,prokhir75@example.net
Закусило,Тереза,Юстимівна,female,1988-12-22,Стиліст,хутір Судак ,"набережна Четверта, буд. 375, Горішні Плавні, 77173",+380 35 828 27 99,iarynaiemets@example.net
Шахрай,Андрій,Веніяминович,male,1961-12-08,Бізнесмен,селище Севастополь,"площа Сільська, буд. 31 кв. 29, Городенка, 24879",072 121 14 82,feofanbabiichuk@example.com
Вакарчук,Єва,Демидівна,female,1985-12-24,Кінорежисер,хутір Моршин,"вулиця Балтська дорога, буд. 3, Новий Розділ, 81733",+380 92 856-54-52,dan47@example.net
Устенко,Максим,Панасович,male,1975-12-19,Гінеколог,місто Долина ,"шосе Виноградна 1-ша, буд. 752 кв. 9, Погребище, 02139",+380 30 702-78-64,vzaporozhets@example.com
Дзиндра,Леонтій,Мартинович,male,1992-02-26,Підприємець,село Олевськ,"парк Стамбульський, буд. 7, Новомиргород, 49668",+380 37 607-31-71,aviter@example.com
Саєнко,Лариса,Вадимівна,female,2008-05-05,Ді-джей,хутір Зоринськ,"парк Нова, буд. 09, Апостолове, 70320",336-49-85,andriishynaanita@example.com
Деряжний,Амвросій,Микитович,male,1989-10-27,Золотар,селище Покровськ,"проспект Восьмого Березня Лінія 2-га, буд. 137, Голубівка, 48732",+380 (12) 834-89-60,anton13@example.com
Запорожець,Ада,Аркадіївна,female,1953-07-11,Сценарист,хутір Шумськ,"набережна Добровольського, буд. 345, Красноград, 20244",083 027-85-28,davymukasviatoslava@example.org
Дзюба,Орхип,Миронович,male,1981-10-02,Ріелтор,хутір Генічеськ,"сквер Тимірязєва, буд. 3, Вугледар, 12109",+380 (91) 852-07-04,iukhymenkoleopold@example.org
Затула,Болеслав,Володимирович,male,1958-01-15,Фрілансер,хутір Городня,"площа Гонтаренко, буд. 924 кв. 983, Прилуки, 78292",856 06 84,orestmazepa@example.org
Вівчаренко,Трохим,Романович,male,1993-04-16,Ді-джей,селище Новий Буг,"площа Ушинського, буд. 19, Щолкіне, 85441",462-50-94,teodor37@example.com
Аврамчук,Віолетта,Панасівна,female,1953-12-18,Локсмайстер,хутір Географія Вільнянська,"вулиця Горбиста, буд. 021 кв. 27, Гола Пристань, 35562",524-82-06,anzhelagereta@example.com
Палій,Ада,Алевтинівна,female,1978-11-05,Няня,місто Кадіївка,"узвіз Біляївська, буд. 30 кв. 421, Помічна, 78706",072 936 80 93,semenchenkopavlo@example.net
Журба,Микита,Стефанович,male,1980-11-05,Антрополог,місто Великі Мости,"парк Аеродромний 2-й, буд. 86, Каховка, 40379",606-92-13,sviatoslavahaida@example.com
Деряжний,Дмитро,Данилович,male,1999-03-25,Бізнесмен,село Заводське,"площа Вапняний 1-й, буд. 302, Тиврів, 37803",049 322 58 17,saienkovadym@example.net
Сич,Геннадій,Назарович,male,2002-10-03,Бізнесмен,селище Зборів,"парк Новий, буд. 842 кв. 189, Зоринськ, 09585",+380 (88) 809-22-55,skolodub@example.org
Влох,Олена,Святославівна,female,1955-08-13,Акушер,село Покровськ,"площа Карантинний узвіз, буд. 99 кв. 09, Борзна, 84354",+380 82 426-17-19,panchukiaroslava@example.org
Сацюк,Ярема,Тимофійович,male,1992-08-06,Випробувач,хутір Добромиль,"площа Головківська, буд. 8 кв. 597, Жидачів, 59074",689 07 86,olesrak@example.org
Оніщук,Гаврило,Єлисейович,male,1945-01-05,Секретар,село Молодогвардійськ,"узвіз Іспанська, буд. 1 кв. 8, Фастів, 79700",593 41 72,goliashdanna@example.org
Москаль,Ольга,Симонівна,female,2005-04-16,Дипломат,село Сєвєродонецьк,"набережна Сільська, буд. 627 кв. 11, Узин, 43274",594 33 52,khavriushenko@example.com
Овсієнко,Марина,Мартинівна,female,1950-11-26,Намотувальник,хутір Полонне,"шосе Улітіна, буд. 4, Ананьїв, 23361",+380 21 010 67 83,emiliiabandera@example.net
Рубець,Одарка,Варфоломіївна,female,1942-12-09,Будник,селище Красилів,"вулиця Компасний, буд. 28 кв. 0, Фастів, 84887",047 779-69-70,pustovitemiliia@example.com
Іщенко,Богуслав,Васильович,male,2005-01-02,Астронавт,селище Зміїв,"площа Єлісаветинська, буд. 0, Носівка, 82728",+380 77 009 61 75,abramchukoleksandr@example.com
Щириця,Орися,Станіславівна,female,1965-06-23,Кінолог,село Дубно,"узвіз Юрженка Олександра, буд. 572, Сторожинець, 81406",867-58-81,oles63@example.net
Таран,Маруся,Леонідівна,female,1982-03-21,Економіст,селище Ірміно,"парк Коцебу міст, буд. 78, Підгородне, 08259",567 74 62,oksana37@example.com
Вівчаренко,Наталія,Яремівна,female,1947-10-02,Локсмайстер,селище Хрустальний,"сквер Щукіна, буд. 251 кв. 883, Кобеляки, 01954",398-03-75,iryna50@example.org
Шамрай,Макар,Віталійович,male,2001-03-31,Стоматолог,хутір Олександрівськ,"провулок Аеропортівський 3-й, буд. 38 кв. 147, Узин, 45050",+380 27 541-56-88,bohuslavderhach@example.com
Дробʼязко,Азар,Климентович,male,2007-05-19,Модельєр,місто Скадовськ,"провулок Волоколамська, буд. 15 кв. 939, Миколаїв, 67391",011 625-36-73,maksymiesypenko@example.org
Сомко,Оксана,Феофанівна,female,1967-05-12,Електрик,місто Луганськ,"шосе Сирітський 2-й, буд. 72, Буринь, 61020",+380 94 527-46-83,bohuslavababychenko@example.net
Опанасенко,Пармен,Давидович,male,1978-06-04,Єгер,місто Кілія,"проспект Лінія 35-та, буд. 1 кв. 4, Енергодар, 28607",070 967-03-63,teslialeon@example.net
Андріїшин,Хома,Станіславович,male,1981-11-06,Клавішник,село Старий Крим,"проспект Ломоносова, буд. 9, Березань , 26894",+380 93 015-74-42,kusyk@example.net
Охріменко,Онисим,Володимирович,male,1956-05-13,Антрополог,місто Дружківка,"проспект Рівний, буд. 573, Кипуче, 93972",+380 (05) 425-46-71,ztaran@example.net
Цюпа,Зиновій,Сергійович,male,1956-02-03,Ріелтор,місто Тячів,"узвіз Південна, буд. 061 кв. 224, Кодима, 49453",434 64 15,leontiipetliura@example.com
Корбут,Артем,Трохимович,male,1981-10-28,Льотчик,хутір Звенигородка,"вулиця Новий, буд. 60, Перечин, 21861",+380 (26) 471-21-28,oliinyknestor@example.org
Деревʼянко,Владислав,Георгійович,male,1969-04-07,Пекар,село Шостка,"площа Керченська, буд. 4 кв. 0, Південне , 30975",+380 86 305-76-82,turkalooleksandr@example.net
Кащенко,Лукʼян,Веніяминович,male,1997-02-07,Стиліст,селище Монастириська,"узвіз Кропивницького, буд. 1 кв. 9, Добромиль, 73775",599 18 86,iukhym77@example.net
Демиденко,Віра,Леонтіївна,female,1974-08-11,Медик,хутір Довжанськ,"вулиця Локальна, буд. 2, Новомосковськ, 95698",040 221 80 01,adaivanenko@example.org
Вахній,Яків,Богданович,male,1984-01-17,Фотограф,селище Белз,"проспект Донецька, буд. 340, Чорноморськ, 95148",+380 42 361-83-85,zhuravelvarfolomii@example.com
Венгринович,Нестор,Несторович,male,1989-09-15,Клоун,село Добромиль,"проспект Білоруська, буд. 7 кв. 6, Тульчин, 68006",+380 52 533 97 36,xzakharchenko@example.com
Чуйко,Наталія,Леонідівна,female,1945-06-25,Електротехнік,хутір Ірпінь,"набережна Залізнична, буд. 52 кв. 2, Добромиль, 83378",+380 (83) 556-11-85,operebyinis@example.net
Іщак,Оксенія,Опанасівна,female,1997-03-13,Ді-джей,селище Сніжне,"вулиця Косяченка Олексія, буд. 79 кв. 902, Балта, 96791",880-40-95,ponishchuk@example.org
Масоха,Вікторія,Лукʼянівна,female,2005-10-20,Складальник,місто Шостка,"проспект 2-га Лінія Марії Демченко, буд. 61 кв. 5, Перечин, 27877",+380 (69) 365-98-85,ieshchenkoiustyna@example.com
Девдюк,Орина,Августинівна,female,1996-10-07,Гірничий інженер,село Ірміно,"площа Дмитрія Донського, буд. 1, Чуднів, 90825",028 877 13 67,akulenkoalbert@example.org
Андрейко,Левко,Соломонович,male,1960-10-30,Географ,селище Полонне,"парк Олександра Невського, буд. 7, Монастирище, 10950",061 332 42 40,sviatoslavahaidenko@example.com
Конопленко,Михайлина,Русланівна,female,2001-09-16,Інженер,селище Гірник ,"шосе Курська, буд. 0, Березань , 11590",477-88-12,heorhii18@example.org
Голик,Левко,Іванович,male,2004-06-15,Штукатур,селище Петрово-Красносілля,"сквер Водопровідний 1-й, буд. 6 кв. 9, Добромиль, 34511",+380 52 411-38-12,zorianzhuk@example.com
Аврамчук,Одарка,Владиславівна,female,1944-05-16,Різноробочий,селище Чорнобиль,"шосе Панченка, буд. 920 кв. 767, Покровськ, 94191",857 62 96,iashchenkoarsen@example.com
Цимбалюк,Едита,Аврелійовна,female,1988-02-01,Різноробочий,місто Шпола,"провулок Сєрова, буд. 13 кв. 665, Стрий, 81178",+380 84 881 08 38,klymentievdokymenko@example.net
Вітер,Теодор,Варфоломійович,male,1982-05-19,Диригент,село Мерефа,"вулиця Рощева, буд. 486 кв. 9, Шпола, 41924",043 735 88 16,ifranko@example.net
Франко,Аарон,Аврелійович,male,1977-01-18,Модель,місто Борщів,"парк Віри Інбер, буд. 811, Новоград-Волинський, 73347",082 782 39 71,stanislav24@example.com
Височан,Надія,Миронівна,female,1963-10-02,Соціолог,село Красилів,"площа Аркадійська, буд. 011 кв. 910, Монастирище, 64847",563-36-28,sviatoslava14@example.org
Франко,Юхим,Тимофійович,male,1953-04-14,Фізик,село Рудки,"проспект Привокзальний, буд. 3 кв. 50, Мукачево, 09758",+380 (89) 755-73-61,oksanaholyk@example.com
Башполченко,Ярема,Теодорович,male,1952-04-22,Музикант,селище Кілія,"набережна Хімічний 2-й, буд. 783, Костопіль, 94357",+380 95 452-43-43,herman06@example.org
Власюк,Руслан,Владиславович,male,1954-10-12,Ветеринар,місто Молочанськ,"проспект Сінна, буд. 936, Канів, 14404",+380 (81) 098-10-77,jverkhola@example.net
Ященко,Владислав,Ігорович,male,2005-04-03,Будник,місто Чорнобиль,"вулиця Братів Поджіо, буд. 27, Сколе, 10820",+380 (26) 886-12-02,volodymyra20@example.net
Андрійчук,Любов,Арсенівна,female,1942-10-01,Провізор,хутір Немирів,"шосе Аеропортівська, буд. 0 кв. 77, Краматорськ, 48700",+380 (98) 721-05-32,artemchala@example.org
Чекалюк,Дарина,Францівна,female,1949-06-28,Фермер,село Горохів,"набережна Гаршина, буд. 1 кв. 98, Хирів, 86200",+380 (88) 205-42-81,zynoviiisaievych@example.org
Рябченко,Лілія,Вʼячеславівна,female,2006-02-08,Візажист,селище Нова Одеса,"провулок Українська, буд. 000, Чорнобиль, 30903",095 818-88-41,panaspiddubnyi@example.net
Шахрай,Аліна,Варфоломіївна,female,2007-02-22,Редактор,хутір Путивль,"набережна Привозна, буд. 9 кв. 348, Люботин, 57564",980-99-34,oksana63@example.com
Байрак,Амвросій,Іванович,male,1951-08-21,Клавішник,село Кремінна,"узвіз Деревообробний 3-й, буд. 83 кв. 168, Кривий Ріг, 06187",+380 19 858 32 67,priska91@example.com
Гаєвський,Соломон,Ааронович,male,2004-05-04,Мовознавець,селище Немирів,"проспект Платанова, буд. 1 кв. 5, Радомишль, 88145",+380 29 004-17-61,vasylevycholeksa@example.net
Масляк,Орхип,Трохимович,male,2008-05-09,Євнух,село Хрестівка,"сквер Героїв Небесної Сотні, буд. 49, Зборів, 77231",+380 89 627 59 03,edytabakumenko@example.net
Бандурка,Єфрем,Артемович,male,1958-05-04,Драматург,хутір Великі Мости,"площа Кримська, буд. 88 кв. 305, Вільнянськ, 61600",+380 54 222-00-54,gshtokalo@example.com
Шахрай,Едита,Пантелеймонівна,female,1957-07-24,Паралегал,селище Баштанка,"вулиця Овідіопольська дуга, буд. 4 кв. 849, Шепетівка, 98218",+380 93 312-27-99,hrytsenkodemyd@example.com
Ільченко,Алла,Ігорівна,female,2007-07-14,Співак,селище Миколаїв,"узвіз Підйомний, буд. 383 кв. 93, Мелітополь, 67375",+380 00 364-55-76,svystunmaryna@example.org
Оніщук,Віктор,Соломонович,male,1992-09-28,Провізор,місто Таврійськ,"провулок Амбулаторний 1-й, буд. 299, Костянтинівка, 90967",+380 51 890-52-75,pylypbhydenko@example.net
Гавришкевич,Кирило,Мирославович,male,1997-02-23,Акушер,село Волочиськ,"набережна Путьова, буд. 50, Володимир-Волинський, 58440",989 20 14,nazar98@example.net
Дрозденко,Гліб,Орестович,male,1975-04-23,Електромонтажник,селище Кремінна,"набережна Матеріальний 1-й, буд. 07 кв. 3, Ірпінь, 97498",+380 43 791 70 01,demianbashtan@example.org
Архимович,Анастасія,Євгенівна,female,1974-11-03,Євнух,місто Кам'янка (Черкаська область),"сквер Дмитрія Донського, буд. 21, Броди, 71086",+380 98 713-27-15,riabovilamaliia@example.com
Ребрик,Михайлина,Васильівна,female,1963-06-14,Бібліограф,село Люботин,"набережна Жаботинського, буд. 4 кв. 4, Севастополь, 84991",953-88-62,pylypkybkalo@example.org
Авдєєнко,Сніжана,Демʼянівна,female,2004-07-15,Соціолог,село Залізне,"сквер Мацієвської, буд. 12 кв. 3, Дружківка, 75160",042 085-97-94,khoma21@example.net
Товстуха,Ліза,Валеріївна,female,1955-09-10,Мікробіолог,село Хирів,"узвіз Слави, буд. 3, Сновськ, 36824",+380 66 736-53-96,rudykaaron@example.net
Ейбоженко,Валентина,Пилипівна,female,1974-04-29,Доцент,місто Барвінкове,"парк Різдвяна, буд. 88, Алчевськ, 14452",057 201 56 10,tandriishyna@example.com
Франчук,Альбіна,Леонідівна,female,1985-02-01,Льотчик,село Соледар,"парк Одеський, буд. 86, Білозерське, 23239",+380 (28) 794-82-37,chuprynabohuslava@example.com
Ящук,Варфоломій,Кирилович,male,1980-01-24,Кінокритик,місто Хрустальний,"вулиця Центральна, буд. 250, Скадовськ, 12133",+380 68 577-57-17,baranvasyl@example.com
Перепелиця,Кирило,Святославович,male,1997-09-18,Підприємець,місто Дубно,"набережна Сурикова 2-й, буд. 007, Кодима, 31082",+380 (25) 553-29-79,dvashchuk@example.org
Бебешко,Маруся,Богодарівна,female,1968-03-05,Слідчий,селище Остер ,"провулок 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 5 кв. 4, Шостка, 32605",051 095-56-94,wierchenko@example.org
Івасюк,Ярина,Васильівна,female,1982-08-22,Дантист,село Луцьк,"набережна Басейний 1-й, буд. 6, Іллінці, 89839",+380 23 258-59-97,edytamatiash@example.com
Царенко,Кирило,Назарович,male,2004-12-06,Ді-джей,хутір Кам'янське,"парк Дем’янова, буд. 384, Копичинці, 35210",056 004-23-59,zakharhaidabura@example.com
Остапчук,Костянтин,Богуславович,male,1973-04-28,Інженер,село Барвінкове,"провулок Цегляна, буд. 8, Кальміуське, 58262",+380 85 011-31-87,syrotenkovarvara@example.com
Гавришкевич,Лариса,Петрівна,female,1962-10-13,Візажист,село Рудки,"узвіз Заводська 5-та, буд. 58, Яготин, 91468",066 098-53-51,iustymverkhovynets@example.net
Бабійчук,Яків,Ярославович,male,1969-12-21,Стоматолог,хутір Зміїв,"набережна Восьмого березня 6-й, буд. 3 кв. 03, Ічня, 18624",+380 (03) 306-39-14,cshchors@example.org
Проценко,Марта,Опанасівна,female,1995-10-11,Фізик,хутір Овруч,"сквер Пушкінська, буд. 394, Куп'янськ, 76404",+380 57 658-97-69,gmykytiuk@example.com
Деревʼянко,Алла,Артемівна,female,1944-05-23,Каскадер,місто Буча,"набережна Катаєва, буд. 772 кв. 23, Славута, 29596",320 04 81,oiashchuk@example.org
Скирда,Віолетта,Охрімівна,female,1948-07-28,Сантехнік,селище Надвірна,"узвіз Проектований 4-й, буд. 41, Покровськ, 85196",824 42 60,shvaikadanylo@example.org
Кабаненко,Стефан,Захарович,male,1957-12-11,Підприємець,хутір Калуш,"проспект Костанді 3-й, буд. 44 кв. 130, Горохів, 28371",188 04 30,bmamchur@example.com
Мазепа,Надія,Захарівна,female,1972-11-06,Професор,хутір Яготин,"проспект Херсонський сквер, буд. 09 кв. 4, Слов'янськ, 72998",097-90-46,korbutbohdanna@example.net
Журавель,Надія,Петрівна,female,2003-12-23,Патологоанатом,хутір Берегове,"проспект Макова, буд. 748, Феодосія, 07615",+380 16 208-42-35,volodymyra22@example.org
Ковалюк,Євген,Миронович,male,1974-07-06,Петрограф,хутір Горлівка,"площа Амурський 1-й, буд. 5 кв. 6, Бровари, 75202",028 895 36 78,opanas70@example.net
Давиденко,Богдан,Сергійович,male,1961-10-29,Економіст,місто Почаїв,"проспект Лінія 55-та, буд. 9, Вільногірськ, 36905",543 85 94,bohuslavprykhodko@example.org
Шморгун,Кирило,Миронович,male,1955-06-27,Детектив,селище Алушта,"шосе Кострова, буд. 97, Косів, 35536",+380 30 456-29-60,khudiakoleh@example.net
Корбут,Анжела,Ярославівна,female,1946-01-02,Гінеколог,село Гірське,"парк Керченський 1-й, буд. 4 кв. 0, Татарбунари, 75831",+380 62 106 91 86,tetiana04@example.net
Козаченко,Нестор,Яковович,male,1993-05-29,Слідчий,селище Любомль,"шосе Деревообробний 3-й, буд. 402, Белз, 71495",+380 08 867-44-84,jiashchenko@example.com
Шведченко,Соломія,Антонівна,female,1974-03-20,Епідеміолог,хутір Городня,"узвіз Скрипковий, буд. 947, Миргород, 13332",191-32-46,skorobohatkoodarka@example.net
Батуринець,Лілія,Михайлівна,female,1995-06-11,Композитор,місто Березне,"вулиця Утьосова, буд. 09, Феодосія, 88499",+380 06 206-49-47,orest81@example.com
Андрійович,Микита,Гаврилович,male,1984-12-06,Нотаріус,село Сарни,"проспект Травневий 2-й, буд. 3, Вишневе , 55384",090 885 97 17,zoliinyk@example.org
Жайворон,Ярема,Геннадійович,male,1948-10-22,Фотограф,селище Дніпро ,"вулиця Василя Симоненка, буд. 003, Жмеринка, 13180",+380 92 654 40 10,shukhevychles@example.net
Салій,Володимир,Веніяминович,male,1940-02-23,Бізнесмен,хутір Угнів,"вулиця Лавкова, буд. 68 кв. 01, Бровари, 71784",+380 55 049 57 76,hordii58@example.com
Верхола,Лариса,Мартинівна,female,1987-09-13,Ювелір,місто Білогірськ,"проспект Садова 3-тя, буд. 926 кв. 2, Черкаси, 52842",218 15 58,vashchenkovitalii@example.net
